transaction_id,transaction_date,transaction_time,transaction_qty,branch_id,product_id,isflagwolt
9536,2022-06-14,16:09:48,4,68,3,NO
4521,2022-03-01,05:06:03,4,43,7,NO
7381,2022-11-18,10:19:09,3,53,2,NO
4950,2022-12-23,13:21:09,2,29,1,NO
6842,2022-05-10,20:09:45,1,64,1,NO
5421,2022-06-29,14:27:28,3,56,2,YES
5649,2022-01-03,10:03:48,1,3,3,NO
1288,2022-07-27,19:36:05,2,10,4,NO
6517,2022-12-02,13:07:16,2,47,1,NO
6737,2022-07-07,11:19:33,2,58,4,YES
7433,2022-06-04,06:51:49,4,41,6,NO
5727,2022-12-09,22:31:57,1,71,4,NO
1848,2022-01-27,03:40:15,4,32,9,YES
8458,2022-08-04,21:19:30,1,2,2,NO
4169,2022-07-11,02:34:23,1,48,7,NO
3466,2022-08-28,17:13:27,4,76,5,NO
7280,2022-08-08,21:12:18,1,28,5,NO
5208,2022-04-09,15:18:44,2,21,2,NO
2265,2022-01-10,20:48:34,4,74,3,NO
3268,2022-11-22,14:01:06,7,58,4,NO
8752,2022-11-24,10:41:15,1,20,5,NO
2565,2022-10-06,06:48:14,5,26,1,NO
3795,2022-11-07,19:22:33,4,2,9,NO
6520,2022-05-18,05:45:55,2,25,3,NO
8812,2022-01-19,11:29:47,3,11,6,NO
6106,2022-05-12,06:35:46,4,11,1,NO
4252,2022-07-14,08:11:03,3,25,6,YES
6722,2022-07-08,04:33:05,2,35,3,NO
5047,2022-03-31,09:21:09,4,75,1,NO
4784,2022-04-16,11:22:09,6,19,8,YES
2673,2022-03-17,04:38:41,2,62,5,NO
1808,2022-08-07,00:09:09,4,47,2,NO
585,2022-01-29,07:00:43,3,66,9,NO
5487,2022-03-14,04:33:38,4,30,3,NO
2347,2022-06-06,11:22:23,4,49,5,NO
8436,2022-07-22,00:08:20,3,58,3,NO
3911,2022-05-16,18:59:50,4,83,8,NO
8147,2022-07-21,10:21:27,5,31,5,NO
8959,2022-12-07,01:09:29,4,7,4,YES
2588,2022-06-18,17:35:35,7,32,4,NO
5835,2022-12-19,09:05:46,3,6,9,NO
4845,2022-12-12,02:23:34,3,21,9,NO
3555,2022-09-13,14:00:38,2,17,8,NO
9134,2022-02-27,18:05:11,2,22,1,NO
7311,2022-05-01,14:11:34,6,19,1,YES
3171,2022-01-07,20:57:05,3,19,4,NO
7940,2022-03-28,05:44:39,3,65,8,YES
2183,2022-03-24,09:30:04,3,74,1,NO
5977,2022-11-16,11:55:57,7,77,1,NO
4596,2022-03-14,21:36:45,3,27,2,NO
9920,2022-10-13,10:24:35,1,27,6,NO
7714,2022-03-23,04:39:16,2,59,8,NO
7069,2022-11-04,15:08:09,1,56,7,NO
7535,2022-01-11,06:10:04,6,44,9,NO
8128,2022-03-14,14:22:33,4,13,8,NO
1220,2022-05-24,03:29:43,4,60,7,NO
1046,2022-03-05,05:45:55,1,22,5,NO
3894,2022-09-30,21:57:25,3,78,5,YES
2714,2022-04-24,11:33:06,3,60,7,NO
6117,2022-05-21,02:15:34,3,27,3,NO
7293,2022-08-10,08:26:27,3,11,9,NO
8073,2022-06-05,15:47:47,4,52,5,NO
7719,2022-01-03,22:57:49,4,37,9,YES
7960,2022-07-07,10:22:34,2,44,9,NO
6718,2022-11-20,14:43:23,1,3,3,NO
8039,2022-08-31,14:38:56,1,13,3,NO
416,2022-11-30,13:28:45,2,9,1,NO
4897,2022-11-19,01:39:44,2,75,8,NO
779,2022-10-28,22:52:38,2,34,2,NO
9936,2022-06-17,11:33:44,2,61,4,NO
5496,2022-02-01,23:21:57,2,79,6,NO
3155,2022-10-11,04:22:49,3,60,1,NO
710,2022-10-22,18:07:37,2,9,4,NO
3804,2022-05-15,20:28:58,2,63,1,NO
4559,2022-03-05,11:33:52,5,64,4,NO
3206,2022-07-07,19:29:45,8,81,3,NO
6457,2022-01-03,03:57:24,6,47,3,YES
8406,2022-05-17,15:25:21,2,24,5,NO
1620,2022-09-14,10:25:06,3,9,6,NO
8855,2022-11-30,15:34:06,2,25,9,NO
5828,2022-02-13,07:48:46,1,18,4,NO
3517,2022-11-27,15:12:11,1,28,1,NO
315,2022-01-01,18:22:10,5,55,8,NO
4021,2022-04-17,12:26:47,6,50,7,NO
6375,2022-08-12,14:22:11,3,21,1,NO
5659,2022-10-31,04:19:26,1,78,3,NO
2089,2022-12-03,20:55:10,1,55,8,NO
1800,2022-12-04,21:16:31,4,31,8,NO
9146,2022-03-28,10:35:50,6,76,4,NO
5843,2022-02-08,00:53:42,4,46,3,YES
5113,2022-08-03,00:25:50,4,31,3,NO
9115,2022-07-27,22:25:13,2,10,6,NO
1529,2022-11-02,11:18:48,6,21,5,NO
8364,2022-10-22,05:07:24,3,55,1,NO
2365,2022-12-17,00:24:03,5,14,7,NO
5270,2022-02-14,08:34:39,2,42,7,NO
4485,2022-02-04,13:33:04,2,2,9,NO
1025,2022-05-24,09:16:43,1,53,4,NO
5074,2022-10-25,22:47:49,2,5,5,NO
8911,2022-09-24,04:21:12,4,82,6,NO
5416,2022-02-14,09:54:08,2,34,5,NO
6297,2022-12-28,01:49:41,4,13,2,NO
1626,2022-11-23,00:36:59,3,23,5,NO
9322,2022-10-08,14:51:45,3,13,3,NO
3431,2022-09-27,06:26:52,3,47,9,NO
5764,2022-08-04,08:25:32,4,44,9,NO
4372,2022-06-13,12:44:29,2,43,6,NO
4977,2022-03-07,12:16:02,4,81,2,NO
8707,2022-11-12,17:19:20,2,33,8,YES
5732,2022-12-25,04:34:22,4,1,2,YES
8574,2022-08-19,08:52:52,4,63,9,NO
493,2022-05-31,20:23:38,7,18,7,NO
6549,2022-04-18,08:38:20,2,75,2,NO
4860,2022-06-28,07:17:28,1,21,8,NO
2129,2022-05-02,06:30:19,2,45,6,NO
8102,2022-05-26,09:25:36,2,24,7,YES
8183,2022-11-04,07:18:44,4,23,2,NO
9062,2022-08-21,16:08:55,3,32,9,NO
5330,2022-09-16,20:32:10,8,71,8,NO
4699,2022-07-02,00:19:06,8,23,4,NO
6577,2022-06-03,05:48:04,2,57,5,NO
5945,2022-12-20,23:20:54,4,9,9,NO
3311,2022-03-28,12:19:19,4,28,2,NO
6909,2022-04-29,04:01:36,8,9,3,NO
4782,2022-11-26,03:53:44,5,4,6,NO
7404,2022-06-28,08:12:41,2,25,6,NO
6087,2022-04-08,01:37:40,1,69,1,YES
1359,2022-09-08,09:40:49,2,12,2,NO
4948,2022-10-07,03:27:52,1,23,4,YES
1226,2022-08-25,20:59:06,1,45,7,NO
6540,2022-05-18,17:51:21,3,48,7,NO
3249,2022-12-25,23:56:29,7,61,2,YES
9313,2022-03-31,21:19:44,1,18,6,NO
9574,2022-06-26,14:10:14,8,73,2,NO
1526,2022-12-26,12:49:47,2,29,2,NO
8281,2022-06-25,01:10:33,2,27,3,NO
813,2022-11-15,16:52:57,8,73,4,NO
9032,2022-02-13,10:28:02,4,66,1,NO
2385,2022-04-30,18:48:12,2,1,5,NO
283,2022-06-07,15:27:22,2,45,2,NO
2934,2022-08-13,19:42:30,3,38,7,NO
405,2022-02-01,17:01:06,4,8,5,NO
4716,2022-09-04,15:32:45,4,58,3,NO
4928,2022-03-04,16:06:02,4,21,2,NO
8033,2022-06-24,21:18:47,1,33,2,NO
1341,2022-08-15,15:17:43,8,11,6,NO
6871,2022-08-30,15:38:40,1,66,4,NO
4007,2022-01-30,23:14:53,4,76,5,NO
3070,2022-05-30,21:40:44,3,28,5,NO
2848,2022-04-18,23:09:31,6,49,6,NO
3734,2022-01-06,05:46:12,2,50,8,NO
4682,2022-02-12,12:34:08,7,34,1,NO
7355,2022-01-05,04:41:36,1,60,5,NO
2290,2022-04-08,11:49:47,5,62,1,NO
8764,2022-05-22,11:49:41,7,22,3,NO
8213,2022-02-08,22:34:37,3,30,7,NO
3193,2022-10-20,05:46:15,3,19,5,YES
8499,2022-05-17,12:12:04,2,66,4,YES
1144,2022-12-20,03:13:18,7,54,7,NO
4258,2022-02-28,21:44:01,8,50,9,NO
6985,2022-10-25,22:23:44,3,62,7,NO
1254,2022-06-06,00:37:24,3,11,8,NO
4047,2022-07-25,16:30:01,2,11,2,NO
5700,2022-12-05,00:00:49,3,26,4,NO
8873,2022-04-15,08:13:28,3,27,3,NO
6467,2022-08-04,03:12:10,6,31,5,NO
7873,2022-11-16,22:23:24,6,8,1,NO
415,2022-09-28,20:29:43,1,27,8,NO
5159,2022-07-12,19:13:52,4,68,3,NO
8622,2022-04-29,16:48:37,5,32,8,NO
4195,2022-03-28,06:04:09,4,10,2,NO
5483,2022-08-07,13:55:05,1,40,5,NO
1809,2022-02-10,01:29:14,8,23,8,NO
3688,2022-09-01,20:43:46,3,3,5,NO
4451,2022-07-13,10:04:42,2,77,5,NO
7173,2022-03-14,00:10:38,5,83,9,NO
8407,2022-12-01,23:36:52,2,55,7,NO
8286,2022-03-22,18:35:13,1,31,5,YES
4228,2022-01-25,01:05:12,2,33,9,NO
