CoffeeShop Name,Americano Price,Latte Price,Espresso Price,Cappuccino Price,Raf Coffee Price,White Mocha Price,Black Mocha Price,Hot Chocolate Price,Tea Price
Second Cup White City,6,6,0,6,7,7,0,8,5
The Bagel Bar Coffee House Fountain Sq.,6,7,0,7,7,8,0,8,6
Second Cup Khatai,6,6,0,6,7,7,0,8,5
McDonald's & McCafe Grand Hayat,4,5,4,0,0,0,0,0,0
KidMood Baku,6,8,4,6,8,0,0,0,3
The House Café Fevvareler,6,7,0,8,0,0,0,0,5
Gloria Jean’s Coffees S. Vurghun,5,6,9,6,0,0,0,7,0
Gloria Jean’s Coffees Azerbaijan пр.,6,6,9,6,0,0,0,7,0
Black Lounge,6,7,7,6,8,0,0,0,7
Second Cup Port Baku,6,8,0,6,7,7,0,8,5
The Bagel Bar Coffee House Khatai,5,8,0,7,8,8,0,8,6
Fox Coffee,5,6,4,6,8,8,0,7,0
Sofi Coffee,4,6,2,5,0,0,0,0,4
Coffee Space,0,0,0,0,0,0,0,0,7
Cafe Botanist,6,7,9,7,8,0,0,0,7
Coffee Break Azerbaijan Ave.,5,6,4,6,8,0,0,0,8
D&B Kafe,3,4,3,3,6,0,0,0,5
Kashalata Cafe,4,7,3,5,8,0,0,0,5
Gutenberg - Park Bulvar,0,0,7,0,8,0,0,0,8
Second Cup Fountain Sq.,6,6,0,6,7,7,0,8,5
The Bagel Bar Coffee House Deniz Mall,6,8,0,7,8,8,0,8,6
Choco Port,6,7,3,6,8,0,0,6,7
CupCup Coffee Fountains SQ.,6,7,0,7,9,0,0,0,6
Mr. ChocoPon,7,7,3,7,7,0,0,0,6
United Coffee Beans,4,6,4,6,7,0,0,0,9
Cinnabon Deniz Mall,4,5,0,0,0,0,0,6,3
United Coffee Beans Хатаи,4,6,4,6,7,0,0,0,7
CoffeeBar,6,7,5,6,7,0,0,0,7
Gloria Jean’s Coffees Istiglaliyyat,5,6,9,6,0,0,0,7,0
The Qəsr 13/80-Şirvanşah dönər,0,0,0,0,0,0,0,0,3
Croque Baku,7,9,5,6,8,8,0,0,8
Cafe Jardin by LW,5,0,4,0,0,0,0,0,3
Fougasse Bakery & Sweets,5,6,3,6,7,0,0,0,6
Enso Coffee Bakery,4,7,6,6,0,0,0,0,6
Coffeemania Next Khatai,7,7,5,7,9,0,0,0,5
Avenue 122,3,8,2,5,7,0,0,0,0
My Cup,5,7,3,7,8,0,0,0,7
Gloria Jean’s Coffees Port Baku,5,6,9,6,0,0,0,7,0
Okean,6,7,7,6,7,0,0,0,7
Cuppa Coffee Elmler,6,6,4,7,7,7,0,8,7
Morphi Coffee Club,5,8,3,7,8,0,0,0,0
CoffeeBar Площадь Фонтанов,6,8,5,6,7,0,0,0,7
Bonbon PATISSERIE,5,6,5,6,0,7,0,0,8
Cuppa Coffee Ag Sheher,5,6,4,6,7,7,0,8,7
Hola Coffee,6,6,0,5,7,6,0,5,0
Tema Coffee,0,0,7,0,0,0,0,0,0
Benjamin Coffee Roastery,6,9,3,7,7,0,0,0,7
Bubee Bubble Tea,0,0,0,0,0,0,0,0,7
CoffeeLife,4,6,3,0,7,5,0,5,7
Billionaire,6,7,7,6,7,0,0,0,7
BOHO Coffee,6,7,4,7,9,0,0,0,10
Cinnabon 28 Mall,6,5,0,0,0,0,0,6,3
Hope Café,8,9,6,8,0,0,0,0,7
Atmosfer Coffee Shop,4,5,3,5,7,0,0,0,0
United Coffee Beans Khagani str.,0,0,0,0,9,0,0,0,8
Hollywood Platinum,6,7,7,6,7,0,0,0,7
Bandidos Mexican Grill and Coffee,4,4,2,4,0,0,0,0,0
Baku Roasting Company,4,5,0,5,8,5,0,0,6
Baba Budan's Cafe & Lounge,8,8,4,7,7,0,0,0,4
Cloud Coffee Bar,5,6,0,5,7,0,0,0,7
Blanco Coffee,0,0,0,0,0,0,0,0,7
Lunch Box,5,6,4,6,7,0,0,6,0
Korhan Coffee,6,8,0,7,9,8,0,8,5
Coffee Break Istiglaliyyat,5,6,4,6,7,0,0,0,3
Pizza Locale Khagani,0,0,0,0,7,0,0,0,4
CupCup Port Baku Walk,6,7,0,7,9,0,0,0,6
Sunday Coffee,6,6,4,7,8,0,0,0,4
Hollywood Fountain sq.,6,7,7,6,7,0,0,0,7
Bubble Cup Ganjlik Mall,0,0,0,0,0,0,0,0,7
Gloria Jean’s Coffees 28 Mall,5,6,9,6,0,0,0,7,0
Second Cup Statistics,6,6,0,6,7,7,0,8,8
Evolution,6,7,7,6,7,0,0,0,7
Freya Coffee Bar,9,10,0,10,10,0,0,10,4
Cafe Botanist Azadliq,6,7,9,7,8,0,0,0,7
Freya Coffee Bar Narimanov,8,9,0,9,10,0,0,9,4
Second Cup Metropark,6,6,0,6,8,8,0,8,5
Cinnabon Fountain Square,6,5,0,0,0,0,0,6,3
Ilk Coffee,6,7,0,7,7,0,0,0,3
Coffee Nuestro,4,5,3,5,7,0,0,0,3
Ruin,7,8,7,7,9,0,0,0,7
Cinnabon Crescent Mall,4,5,0,0,0,0,0,0,3
Second Cup Bakikhanov,6,6,0,6,7,7,0,8,5
CoffeeBear,4,8,3,6,6,0,0,0,4
Neşve Mutfak,6,7,0,7,0,0,0,0,4
Coffee Land Fountain Sq.,3,4,8,4,4,0,0,0,1
Gloria Jean’s Coffees Caspian Plaza,5,6,9,6,0,0,0,7,0
Michelle Coffee & Wine,6,7,3,7,7,0,0,7,8
Capl Coffee,4,5,4,4,8,0,0,0,0
Belgian Chocolate & Coffee Narimanov,4,6,9,6,8,7,0,7,6
Cafe Grande,5,5,3,5,6,0,0,0,3
