CoffeeShop Name,URL,Address,Phone,Rating,Review count,Excellent Reviews,Good Reviews,Average Reviews,Poor Reviews,Terrible Reviews,Accepts Credit Cards,Seating,Free Wifi,Visa,Mastercard,Delivery,Takeout,Reservations,Street Parking,Non-smoking restaurants,Parking Available,Family style,Digital Payments,Table Service,Wine and Beer,Serves Alcohol,Outdoor Seating,American Express,Dog Friendly,Full Bar,Wheelchair Accessible,Cash Only,Discover,Free off-street parking,Drive Thru,Television,Live Music,Highchairs Available,Gift Cards Available,Private Dining,Playgrounds,Buffet,Sports bars,Jazz Bar,Validated Parking,Valet Parking,Waterfront,Beach
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,"Neftchiler Ave., 153, Baku AZ1010 Azerbaijan",+994 50 464 07 70,4.1,353,219,44,41,21,28,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Entree Az,https://www.tripadvisor.com/Restaurant_Review-g293934-d7116764-Reviews-Entree_Az-Baku_Absheron_Region.html,"Nigar Refibeyli Kucesi 26G Kecmis Torqovi, Baku Azerbaijan",+994 55 505 95 91,4.2,144,83,38,7,7,9,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Tea Lounge,https://www.tripadvisor.com/Restaurant_Review-g293934-d8297898-Reviews-The_Tea_Lounge-Baku_Absheron_Region.html,"674 Azadliq Square JW Marriott Absheron Baku, Baku 1010 Azerbaijan",+994 12 499 88 88,4.9,88,83,4,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahar Cafe,https://www.tripadvisor.com/Restaurant_Review-g293934-d27955004-Reviews-Bahar_Cafe-Baku_Absheron_Region.html,"İsmayıl Bəy Qutqaşınlı Küç. 97, Baku AZ1000 Azerbaijan",+994 50 698 99 50,4.9,10,9,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Starbucks 28 mall,https://www.tripadvisor.com/Restaurant_Review-g293934-d10158399-Reviews-Starbucks_28_mall-Baku_Absheron_Region.html,"Azadliq Avenue, 45 28 Mall, Baku Azerbaijan",+994 12 404 88 72,3.7,34,13,7,9,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Book and Coffee,https://www.tripadvisor.com/Restaurant_Review-g293934-d23991601-Reviews-Book_and_Coffee-Baku_Absheron_Region.html,"Qullə 8/10 Near the Maiden Tower, Baku Azerbaijan",+994 12 497 77 77,4.6,17,14,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloud Coffee Bar,https://www.tripadvisor.com/Restaurant_Review-g293934-d28128229-Reviews-Cloud_Coffee_Bar-Baku_Absheron_Region.html,"Puskin, AZ1010 Puskin Street 8a, Baku AZ1010 Azerbaijan",+994 50 866 40 40,5,5,5,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
United Coffee Beans,https://www.tripadvisor.com/Restaurant_Review-g293934-d13374176-Reviews-United_Coffee_Beans-Baku_Absheron_Region.html,"Yusif Mammadaliyev St. 6, Baku 1000 Azerbaijan",+994 50 505 11 25,4.5,55,41,7,4,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xg Cafe. Book-coffee-meetup.,https://www.tripadvisor.com/Restaurant_Review-g293934-d26847385-Reviews-Xg_Cafe_Book_coffee_meetup-Baku_Absheron_Region.html,"Samad Vurgun, 36, Baku Azerbaijan",+994 10 212 59 99,5,22,22,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beast Coffee,https://www.tripadvisor.com/Restaurant_Review-g293934-d27160108-Reviews-Beast_Coffee-Baku_Absheron_Region.html,"1-ci fəvvarələr küçəsi, 53b, Baku AZ1025 Azerbaijan",+994 50 255 99 33,4.5,11,9,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gloria Jean's Coffees,https://www.tripadvisor.com/Restaurant_Review-g293934-d10257721-Reviews-Gloria_Jean_s_Coffees-Baku_Absheron_Region.html,"28 Mall, 4th floor, Baku Azerbaijan",N/A,4,38,19,9,4,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cafe Botanist,https://www.tripadvisor.com/Restaurant_Review-g293934-d25577698-Reviews-Cafe_Botanist-Baku_Absheron_Region.html,"Zivarbey Ahmadbeyov 77 Caspian Plaza, Baku AZ1064 Azerbaijan",+994 51 206 20 66,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
