coffeeshop_name,coffeeshop_url,rating,title,content,ReviewType
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Amazing Experience and Delicious Food,"Last week, my family and I had a wonderful dinner at Paul Caspian. The ambiance of the restaurant was pleasant and cozy. The staff were very polite and attentive. The food was truly excellent. I highly recommend trying the Shrimp Salad , it was absolutely delightful and still lingers in my memory. The presentation of the dishes was also impressive. The prices were quite reasonable as well. We will definitely be coming back. Highly recommend to everyone!",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,4,"Fantastic Breakfast, ok service","Variety and taste of food especially for breakfast is very good. The service at the take away counter is amazing, however the waiters in the restaurant itself need to learn better English (especially with all the Expats living in this area) and really need to learn how to please guests. I do not expect high service skills, but passion and enjoyment in the job could really help to make a good experience for the guest.",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Cheese soupy visit,"I went to Paul to eat ""onion soup in bread"" with my boyfriend. But then we decided to order cheese soup. The soup has unique view, it is served in bread. And the taste was otherworldly. I did not expect that tasty cheese soup. Overall, it is good choice for cold weather. 😊",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,3,Breakfast,"Paul in the Caspian Plaza building. Two days in a row I eat breakfast at this place. On the first day, the ordered salmon croissant arrived about 20 minutes later, and then after I reminded you of it, when the coffee had cooled. I paid the bill in cash and..., change returned less by about $2. Nobody was surprised when I said that and got the missing money back. 
On the second day, instead of a salmon croissant, a regular croissant was served, and instead of a large cup of coffee, a small one. Corrected. Salt, pepper, coffee spoon, napkins should be asked for separately, they will not bring. Unpleasant and sad.",negative
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,1,Awful service and terrible management,"The management is terrible in this restaurant. Every time there is a problem with something. There is always a shortage of staff, there is always a lack of ingredients, there are always mismatches with the order. If you came to have breakfast 30 minutes before it finishes be aware that you might not even get a menu before they stop serving it. One of the worst services I’ve ever seen.",negative
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,2,Dont expect to eat at same time as your company…,"Too many times I am sitting here after all company have received and finished their food, to have to cancel my meal as everyone is waiting for me to be even served.

They just can’t manage that simple requirement of serving people in the same group together, but rather serve what comes available first.  Main courses for one person coming at the same time as the starter for another, while the third person could wait to the very end, not to receive anything…. Very disappointing.",neutral
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,3,"If you are into proper pastries, dont go there","Not our favourite anymore, we give it a try last couple of times, every time it gets worse. Pastries like croissant and palmier are the same as it used to be. A palmier was like a piece of Rock not crunchy at all. A croissant was like a ordinary bun. Not crunchy outside, not soft inside, not enough butter. Total disappointment, dont waste your money and time there.
Moreover when you complain about the pastries, they try to convince you that it is fresh. They dont even refund even if you leave on table uneaten.",negative
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,2,"Bad, bad service","How can you make such a frustrating experience out of a simple take-away order (few bakery products and a coffee) ? The place was completely empty (3 waiters chatting among themselves, no other client), so no excuse on that level. Asked for a separate billing in advance. They confirmed this wouldn't be a problem. 
When payment came, no separate bill. At that point it was too late to reset the bill. Ok, this can happen. Then i wait for the coffee. Apparently they forgot to start making it. Ok again, this can happen too. Fast forward to 5 minutes later (for a simple americano !), finally the order is ready. When opening the coffee at home, it appears to be a cappucino instead of americano.

Bad reviews are not my thing. Nevertheless, this kind of deliberate unprofessionalism deserves some online recognition.",neutral
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Great food and atmosphere,"Perfect for breakfast, lunch, dinner and coffee...
Home baked bread and delicious food.
Good prices and service.
Always immaculate.
I visit often, the various cafes they have in Baku (and Almaty, Kazakhstan)
Recomend a visit...",positive
PAUL,https://www.tripadvisor.com/Restaurant_Review-g293934-d6522592-Reviews-PAUL-Baku_Absheron_Region.html,5,Perfect spot for a meal.,"I’ve been to Paul restaurants all over the world and this location did not disappoint.  It was great to pop in for a meal and meet such friendly staff like Hesen. 
I had a great meal and perfect latte.  
Great location and very clean.",positive
